model_name,dataset_path,dataset_config,horizon,num_windows,initial_cutoff,window_step_size,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target,generate_univariate_targets_from,known_dynamic_columns,past_dynamic_columns,static_columns,task_name,test_error,training_time_s,inference_time_s,num_forecasts,dataset_fingerprint,trained_on_this_dataset,fev_version,SQL,MASE,WAPE,WQL,best_lags,effective_input_length,use_kpss,use_ols,new_metric,standardize
autoar,autogluon/fev_datasets,proenfo_gfc12,168,10,-1680,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc12,1.1946395896828406,11.778924481477588,0.8557750671170652,110,7c9ee0786e7de9fc,False,0.7.1,1.1946395896828406,1.1946395896828406,0.1038892287432502,0.10388922377673164,192,512,True,True,True,True
autoar,autogluon/fev_datasets,proenfo_gfc14,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc14,0.9927889867713384,7.562336498405784,0.27786686830222607,20,eb4b54a1ec3114bf,False,0.7.1,0.9927889867713384,0.9927889867713384,0.04864508692178672,0.04864508627622682,192,512,True,True,True,True
autoar,autogluon/fev_datasets,proenfo_gfc17,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc17,1.198007136726392,10.751356208696961,1.3847703551873565,160,2c63b48ca8f6dd9a,False,0.7.1,1.198007136726392,1.198007136726392,0.08127736417704953,0.08127736414664083,192,512,True,True,True,True
autoar,autogluon/fev_datasets,rohlik_sales_1D,14,1,2023-12-15T00:00:00,14,14,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,sales,,"['holiday', 'school_holidays', 'sell_price_main', 'shops_closed', 'total_orders', 'type_0_discount', 'type_1_discount', 'type_2_discount', 'type_3_discount', 'type_4_discount', 'type_5_discount', 'type_6_discount', 'winter_school_holidays']",['availability'],"['L1_category_name_en', 'L2_category_name_en', 'L3_category_name_en', 'L4_category_name_en', 'name', 'product_unique_id', 'warehouse']",rohlik_sales_1D,1.5129106121795393,4.543902459088713,0.10312647698447108,4116,c475daf9af96ed16,False,0.7.1,1.5129106121795393,1.5129106121795393,0.41506371727331537,0.41506373442768296,192,512,True,True,True,True
autoar,autogluon/fev_datasets,rohlik_orders_1D,61,5,2023-05-01T00:00:00,61,1,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,orders,,"['holiday', 'school_holidays', 'shops_closed', 'winter_school_holidays']","['blackout', 'frankfurt_shutdown', 'mini_shutdown', 'mov_change', 'precipitation', 'shutdown', 'snow', 'user_activity_1', 'user_activity_2']",[],rohlik_orders_1D,1.6687913422200034,1.2957051801495254,0.033071279525756836,35,1774b84125cff789,False,0.7.1,1.6687913422200034,1.6687913422200034,0.07709139098656076,0.07709139047001355,192,512,True,True,True,True
autoar,autogluon/fev_datasets,rohlik_sales_1W,8,1,2023-12-15T00:00:00,8,8,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,sales,,"['holiday', 'school_holidays', 'sell_price_main', 'shops_closed', 'total_orders', 'type_0_discount', 'type_1_discount', 'type_2_discount', 'type_3_discount', 'type_4_discount', 'type_5_discount', 'type_6_discount', 'winter_school_holidays']",['availability'],"['L1_category_name_en', 'L2_category_name_en', 'L3_category_name_en', 'L4_category_name_en', 'name', 'product_unique_id', 'warehouse']",rohlik_sales_1W,1.8927549580506844,1.9022023058496416,0.25857765693217516,3942,09041d7a8a29c83f,False,0.7.1,1.8927549580506844,1.8927549580506844,0.2955649389277129,0.2955649235736837,128,166,True,True,True,True
autoar,autogluon/fev_datasets,rohlik_orders_1W,8,5,2023-05-01T00:00:00,8,1,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,orders,,"['holiday', 'school_holidays', 'shops_closed', 'winter_school_holidays']","['blackout', 'frankfurt_shutdown', 'mini_shutdown', 'mov_change', 'precipitation', 'shutdown', 'snow', 'user_activity_1', 'user_activity_2']",[],rohlik_orders_1W,1.7013961319783308,0.16720218770205975,0.006440604105591774,35,bbb0372c6d5883ab,False,0.7.1,1.7013961319783308,1.7013961319783308,0.056913444560043026,0.05691344466189131,64,116,True,True,True,True
autoar,autogluon/fev_datasets,entsoe_15T,96,20,-1920,96,1,,96,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_15T,0.8190020235222178,16.81431681010872,0.18027100805193186,120,4e80c208c8b54e76,False,0.7.1,0.8190020235222178,0.8190020235222178,0.05979055927019435,0.05979055913222846,384,512,True,True,True,True
autoar,autogluon/fev_datasets,entsoe_30T,96,20,-1920,96,1,,48,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_30T,0.9098241224058359,17.0094694388099,0.3057737681083381,120,7a3623a47fa39853,False,0.7.1,0.9098241224058359,0.9098241224058359,0.06170264137498936,0.06170264236232381,288,512,True,True,True,True
autoar,autogluon/fev_datasets,entsoe_1H,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_1H,0.6768608005075358,17.10174248414114,1.265784662682563,120,a900217b9207dc1a,False,0.7.1,0.6768608005075358,0.6768608005075358,0.04322798855982247,0.04322798874335771,192,512,True,True,True,True
